2021-11-27 01:08:56.184 +08:00 [INF] Starting default Dispatcher
2021-11-27 01:08:56.239 +08:00 [INF] Starting the processing server.
2021-11-27 01:08:56.240 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleEto.Deleted
2021-11-27 01:08:56.241 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleNameChangedEto
2021-11-27 01:08:56.242 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Lion.AbpPro.NotificationManagement.Notifications.DistributedEvents.CreatedNotificationDistributedEvent
2021-11-27 01:08:56.253 +08:00 [INF] ### CAP started!
2021-11-27 01:08:56.260 +08:00 [INF] Loaded ABP modules:
2021-11-27 01:08:56.264 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2021-11-27 01:08:56.264 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2021-11-27 01:08:56.266 +08:00 [INF]     - Lion.AbpPro.AbpProApplicationContractsModule
2021-11-27 01:08:56.266 +08:00 [INF]       - Lion.AbpPro.AbpProDomainSharedModule
2021-11-27 01:08:56.267 +08:00 [INF]         - Volo.Abp.AuditLogging.AbpAuditLoggingDomainSharedModule
2021-11-27 01:08:56.268 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainSharedModule
2021-11-27 01:08:56.269 +08:00 [INF]         - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainSharedModule
2021-11-27 01:08:56.270 +08:00 [INF]           - Volo.Abp.Validation.AbpValidationModule
2021-11-27 01:08:56.271 +08:00 [INF]             - Volo.Abp.Validation.AbpValidationAbstractionsModule
2021-11-27 01:08:56.271 +08:00 [INF]             - Volo.Abp.Localization.AbpLocalizationModule
2021-11-27 01:08:56.272 +08:00 [INF]               - Volo.Abp.VirtualFileSystem.AbpVirtualFileSystemModule
2021-11-27 01:08:56.273 +08:00 [INF]               - Volo.Abp.Settings.AbpSettingsModule
2021-11-27 01:08:56.274 +08:00 [INF]                 - Volo.Abp.Localization.AbpLocalizationAbstractionsModule
2021-11-27 01:08:56.274 +08:00 [INF]                 - Volo.Abp.Security.AbpSecurityModule
2021-11-27 01:08:56.275 +08:00 [INF]                 - Volo.Abp.MultiTenancy.AbpMultiTenancyModule
2021-11-27 01:08:56.279 +08:00 [INF]                   - Volo.Abp.Data.AbpDataModule
2021-11-27 01:08:56.281 +08:00 [INF]                     - Volo.Abp.ObjectExtending.AbpObjectExtendingModule
2021-11-27 01:08:56.283 +08:00 [INF]                     - Volo.Abp.Uow.AbpUnitOfWorkModule
2021-11-27 01:08:56.284 +08:00 [INF]                     - Volo.Abp.EventBus.Abstractions.AbpEventBusAbstractionsModule
2021-11-27 01:08:56.286 +08:00 [INF]         - Volo.Abp.Identity.AbpIdentityDomainSharedModule
2021-11-27 01:08:56.288 +08:00 [INF]           - Volo.Abp.Users.AbpUsersDomainSharedModule
2021-11-27 01:08:56.289 +08:00 [INF]           - Volo.Abp.Features.AbpFeaturesModule
2021-11-27 01:08:56.290 +08:00 [INF]             - Volo.Abp.Authorization.AbpAuthorizationAbstractionsModule
2021-11-27 01:08:56.291 +08:00 [INF]         - Volo.Abp.IdentityServer.AbpIdentityServerDomainSharedModule
2021-11-27 01:08:56.294 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainSharedModule
2021-11-27 01:08:56.295 +08:00 [INF]         - Volo.Abp.SettingManagement.AbpSettingManagementDomainSharedModule
2021-11-27 01:08:56.296 +08:00 [INF]         - Volo.Abp.TenantManagement.AbpTenantManagementDomainSharedModule
2021-11-27 01:08:56.297 +08:00 [INF]       - Volo.Abp.Account.AbpAccountApplicationContractsModule
2021-11-27 01:08:56.298 +08:00 [INF]         - Volo.Abp.Identity.AbpIdentityApplicationContractsModule
2021-11-27 01:08:56.299 +08:00 [INF]           - Volo.Abp.Users.AbpUsersAbstractionModule
2021-11-27 01:08:56.299 +08:00 [INF]             - Volo.Abp.EventBus.AbpEventBusModule
2021-11-27 01:08:56.300 +08:00 [INF]               - Volo.Abp.Json.AbpJsonModule
