2021-11-27 01:09:41.271 +08:00 [INF] Starting default Dispatcher
2021-11-27 01:09:41.341 +08:00 [INF] Starting the processing server.
2021-11-27 01:09:41.342 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleEto.Deleted
2021-11-27 01:09:41.343 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleNameChangedEto
2021-11-27 01:09:41.344 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Lion.AbpPro.NotificationManagement.Notifications.DistributedEvents.CreatedNotificationDistributedEvent
2021-11-27 01:09:41.353 +08:00 [INF] ### CAP started!
2021-11-27 01:09:41.358 +08:00 [INF] Loaded ABP modules:
2021-11-27 01:09:41.359 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2021-11-27 01:09:41.360 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2021-11-27 01:09:41.362 +08:00 [INF]     - Lion.AbpPro.AbpProApplicationContractsModule
2021-11-27 01:09:41.362 +08:00 [INF]       - Lion.AbpPro.AbpProDomainSharedModule
2021-11-27 01:09:41.363 +08:00 [INF]         - Volo.Abp.AuditLogging.AbpAuditLoggingDomainSharedModule
2021-11-27 01:09:41.363 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainSharedModule
2021-11-27 01:09:41.364 +08:00 [INF]         - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainSharedModule
2021-11-27 01:09:41.365 +08:00 [INF]           - Volo.Abp.Validation.AbpValidationModule
2021-11-27 01:09:41.365 +08:00 [INF]             - Volo.Abp.Validation.AbpValidationAbstractionsModule
2021-11-27 01:09:41.366 +08:00 [INF]             - Volo.Abp.Localization.AbpLocalizationModule
2021-11-27 01:09:41.366 +08:00 [INF]               - Volo.Abp.VirtualFileSystem.AbpVirtualFileSystemModule
2021-11-27 01:09:41.367 +08:00 [INF]               - Volo.Abp.Settings.AbpSettingsModule
2021-11-27 01:09:41.368 +08:00 [INF]                 - Volo.Abp.Localization.AbpLocalizationAbstractionsModule
2021-11-27 01:09:41.368 +08:00 [INF]                 - Volo.Abp.Security.AbpSecurityModule
